"slNo","trainNo","stationCode","dayofJourney","arrivalTime","departureTime","distance"
"Dadar - Bhusawal SF ...","1081","SF","DR","21:45","BSL","4:00"
"Bhusawal - Dadar SF ...","1082","SF","BSL","8:35","DR","16:20"
"Konkan Kanya Express...","10111","Exp","CSTM","23:05","MAO","10:45"
"Konkan Kanya Express","10112","Exp","MAO","18:00","CSTM","5:50"
"Madgaon - Ernakulam ...","10215","SF","MAO","21:30","ERS","10:55"
"Ernakulam - Madgaon ...","10216","SF","ERS","13:50","MAO","3:15"
"Deccan Queen","12123","SF","CSTM","17:10","PUNE","20:25"
"Deccan Queen","12124","SF","PUNE","7:15","CSTM","10:25"
"Pragati Express","12125","SF","CSTM","16:25","PUNE","19:50"
"Pragati Express","12126","SF","PUNE","7:50","CSTM","11:15"
"Mumbai CST - Pune In...","12127","SF","CSTM","6:40","PUNE","9:57"
"Pune - Mumbai CST In...","12128","SF","PUNE","17:55","CSTM","21:05"
"Azad Hind Express (P...","12129","SF","PUNE","18:25","HWH","3:50"
"Azad Hind Express (P...","12130","SF","HWH","21:50","PUNE","6:50"
"Dadar-Sainagar Shird...","12131","SF","DR","21:45","SNSI","3:51"
"Sainagar Shirdi-Dada...","12132","SF","SNSI","22:25","DR","4:30"
"Mumbai CST-Mangalore...","12133","SF","CSTM","22:00","MAJN","12:40"
"Mangalore Junction -...","12134","SF","MAJN","13:55","CSTM","4:25"
"Pune - Nagpur SF Exp...","12135","SF","PUNE","17:40","NGP","9:25"
"Nagpur - Pune SF Exp...","12136","SF","NGP","18:35","PUNE","9:45"
"Punjab Mail (PT)","12137","SF","CSTM","19:40","FZR","5:50"
"Punjab Mail","12138","SF","FZR","21:40","CSTM","7:35"
"Sewagram SF Express ...","12139","SF","CSTM","15:00","NGP","6:10"
"Sewagram SF Express","12140","SF","NGP","21:00","CSTM","12:00"
"Mumbai LTT - Rajendr...","12141","SF","LTT","23:35","RJPB","4:40"
"Rajendra Nagar Patna...","12142","SF","RJPB","10:40","LTT","15:15"
"Mumbai LTT - Sultanp...","12143","SF","LTT","16:40","SLN","19:55"
"Sultanpur - Mumbai L...","12144","SF","SLN","23:55","LTT","4:10"
"Mumbai LTT-Puri SF E...","12145","SF","LTT","20:35","PURI","7:40"
"Puri-Mumbai LTT SF E...","12146","SF","PURI","21:25","LTT","7:30"
"CSMT Kolhapur - Hazr...","12147","SF","KOP","9:05","NZM","17:10"
"Hazrat Nizamuddin - ...","12148","SF","NZM","5:55","KOP","16:20"
"Pune-Patna SF Expres...","12149","SF","PUNE","20:55","PNBE","4:00"
"Patna-Pune SF Expres...","12150","SF","PNBE","22:55","PUNE","5:30"
"Samarasta SF Express...","12151","SF","LTT","20:35","HWH","8:25"
"Samarasta SF Express","12152","SF","HWH","21:15","LTT","7:30"
"Mumbai LTT - Bhopal ...","12153","SF","LTT","16:25","HBJ","5:30"
"Bhopal Habibganj - M...","12154","SF","HBJ","18:20","LTT","7:30"
"Shaan-E-Bhopal SF Ex...","12155","SF","HBJ","21:05","NZM","8:00"
"Shaan E Bhopal SF Ex...","12156","SF","NZM","20:55","HBJ","7:05"
"Pune-Solapur Hutatma...","12157","SF","PUNE","18:00","SUR","22:00"
"Solapur-Pune Hutatma...","12158","SF","SUR","6:30","PUNE","10:30"
"Amravati - Jabalpur ...","12159","SF","AMI","17:45","JBP","6:55"
"Jabalpur - Amravati ...","12160","SF","JBP","20:50","AMI","9:50"
"Lashkar Superfast Ex...","12161","SF","LTT","16:25","AGC","13:00"
"Lashkar Superfast Ex...","12162","SF","AGC","23:35","LTT","22:35"
"Dadar Central - Chen...","12163","SF","DR","20:30","MS","19:45"
"Chennai Egmore - Dad...","12164","SF","MS","6:50","DR","6:00"
"Ratnagiri Express (P...","12165","SF","LTT","5:20","BSB","7:05"
"Ratnagiri Express","12166","SF","BSB","20:20","LTT","21:30"
"Mumbai LTT - Varana...","12167","SF","LTT","0:35","BSB","3:45"
"Varanasi - Mumbai LT...","12168","SF","BSB","10:25","LTT","12:25"
"Pune-Solapur InterCi...","12169","SF","PUNE","9:30","SUR","13:30"
"Solapur-Pune Interci...","12170","SF","SUR","14:00","PUNE","18:05"
,"",,,,,
,"",,,,,
